design,procedure,participant,period,position,posture,support,precision,recall,f1
grouped_repetitions,all10_default,P01,all_rows,5,Right shoulder touch and twist,1199,0.36363636363636365,0.24020016680567138,0.28930185836263184
grouped_repetitions,all10_default,P01,all_rows,6,Both arms raise,1199,0.5099099099099099,0.23603002502085071,0.322690992018244
grouped_repetitions,all10_default,P01,all_rows,7,Forward bend,1203,0.5962539021852237,0.4763092269326683,0.5295748613678372
grouped_repetitions,all10_default,P01,all_rows,8,Sitting,1199,0.4303571428571429,0.20100083402835697,0.2740193291642979
grouped_repetitions,all10_default,P01,held_only,1,Standing straight,6980,0.5298983456248755,0.7617478510028654,0.6250146937815917
grouped_repetitions,all10_default,P01,held_only,2,Left arm raise,1001,0.5158428390367554,0.4065934065934066,0.4547486033519553
grouped_repetitions,all10_default,P01,held_only,3,Right arm raise,998,0.42063492063492064,0.2655310621242485,0.3255528255528256
grouped_repetitions,all10_default,P01,held_only,4,Left shoulder touch and twist,1005,0.3971774193548387,0.19601990049751244,0.262491672218521
grouped_repetitions,all10_default,P01,held_only,5,Right shoulder touch and twist,1003,0.4587628865979381,0.2662013958125623,0.3369085173501577
grouped_repetitions,all10_default,P01,held_only,6,Both arms raise,1003,0.7611111111111111,0.2731804586241276,0.40205429200293474
grouped_repetitions,all10_default,P01,held_only,7,Forward bend,999,0.7057291666666666,0.5425425425425425,0.613469156762875
grouped_repetitions,all10_default,P01,held_only,8,Sitting,1000,0.5212121212121212,0.172,0.2586466165413534
grouped_repetitions,all10_default,P02,all_rows,1,Standing straight,8503,0.49155804391566793,0.6608255909678937,0.5637604093508578
grouped_repetitions,all10_default,P02,all_rows,2,Left arm raise,1200,0.6549295774647887,0.3875,0.486910994764398
grouped_repetitions,all10_default,P02,all_rows,3,Right arm raise,1201,0.5091130012150669,0.3488759367194005,0.4140316205533597
grouped_repetitions,all10_default,P02,all_rows,4,Left shoulder touch and twist,1194,0.2311377245508982,0.16164154103852596,0.19024149827501233
grouped_repetitions,all10_default,P02,all_rows,5,Right shoulder touch and twist,1200,0.344,0.25083333333333335,0.29012048192771084
grouped_repetitions,all10_default,P02,all_rows,6,Both arms raise,1201,0.5945674044265593,0.492089925062448,0.5384965831435079
grouped_repetitions,all10_default,P02,all_rows,7,Forward bend,1200,0.49909584086799275,0.23,0.31488876212207645
grouped_repetitions,all10_default,P02,all_rows,8,Sitting,1201,0.27835051546391754,0.15736885928393005,0.20106382978723403
grouped_repetitions,all10_default,P02,held_only,1,Standing straight,7015,0.5078070611636002,0.7278688524590164,0.5982425307557117
grouped_repetitions,all10_default,P02,held_only,2,Left arm raise,996,0.8153526970954357,0.39457831325301207,0.5317997293640054
grouped_repetitions,all10_default,P02,held_only,3,Right arm raise,1000,0.56957928802589,0.352,0.4351050679851669
grouped_repetitions,all10_default,P02,held_only,4,Left shoulder touch and twist,997,0.2042483660130719,0.12537612838515547,0.1553760099440646
grouped_repetitions,all10_default,P02,held_only,5,Right shoulder touch and twist,1000,0.34887218045112783,0.232,0.2786786786786787
grouped_repetitions,all10_default,P02,held_only,6,Both arms raise,999,0.6641318124207858,0.5245245245245245,0.5861297539149888
grouped_repetitions,all10_default,P02,held_only,7,Forward bend,1000,0.7011494252873564,0.244,0.3620178041543026
grouped_repetitions,all10_default,P02,held_only,8,Sitting,1003,0.2698412698412698,0.11864406779661017,0.16481994459833796
grouped_repetitions,all10_default,P03,all_rows,1,Standing straight,8507,0.47410786155084517,0.623133889737863,0.53850060950833
